areaCode,areaName,areaType,date,hospitalCases,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,27/12/2021,,98515,,,
K02000001,United Kingdom,overview,26/12/2021,,108893,,1935,2084
K02000001,United Kingdom,overview,25/12/2021,,113628,,955,917
K02000001,United Kingdom,overview,24/12/2021,,122186,,10492,13563
K02000001,United Kingdom,overview,23/12/2021,,119789,79,32605,44046
K02000001,United Kingdom,overview,22/12/2021,8240,109655,97,39309,53154
K02000001,United Kingdom,overview,21/12/2021,8027,90629,86,39955,54085
K02000001,United Kingdom,overview,20/12/2021,7825,91743,105,39793,50938
K02000001,United Kingdom,overview,19/12/2021,7589,82886,92,33151,39904
K02000001,United Kingdom,overview,18/12/2021,7435,90418,101,38329,45898
K02000001,United Kingdom,overview,17/12/2021,7506,93045,117,32890,42286
K02000001,United Kingdom,overview,16/12/2021,7637,88376,100,32677,42497
K02000001,United Kingdom,overview,15/12/2021,7625,78610,109,28067,38794
K02000001,United Kingdom,overview,14/12/2021,7704,59610,125,34082,37888
K02000001,United Kingdom,overview,13/12/2021,7706,54661,95,19671,29407
K02000001,United Kingdom,overview,12/12/2021,7491,48854,118,23317,30195
K02000001,United Kingdom,overview,11/12/2021,7372,54073,92,26291,38984
K02000001,United Kingdom,overview,10/12/2021,7407,58194,101,22063,31962
K02000001,United Kingdom,overview,09/12/2021,7456,50867,118,24039,33824
K02000001,United Kingdom,overview,08/12/2021,7389,51342,107,21700,29437
K02000001,United Kingdom,overview,07/12/2021,7372,45691,121,23512,28375
K02000001,United Kingdom,overview,06/12/2021,7389,51459,134,19979,25012
K02000001,United Kingdom,overview,05/12/2021,7284,43992,110,21955,27166
K02000001,United Kingdom,overview,04/12/2021,7184,42848,143,26914,37798
K02000001,United Kingdom,overview,03/12/2021,7333,50584,125,23264,29811
K02000001,United Kingdom,overview,02/12/2021,7424,53945,106,25848,30976
K02000001,United Kingdom,overview,01/12/2021,7352,48374,124,26028,32356
K02000001,United Kingdom,overview,30/11/2021,7678,39716,92,30539,32157
K02000001,United Kingdom,overview,29/11/2021,7671,42583,121,22391,26092
K02000001,United Kingdom,overview,28/11/2021,7443,37681,116,21493,29445
K02000001,United Kingdom,overview,27/11/2021,7413,39567,105,23808,32866
K02000001,United Kingdom,overview,26/11/2021,7568,50091,132,20314,23665
K02000001,United Kingdom,overview,25/11/2021,7669,47240,134,23579,22823
K02000001,United Kingdom,overview,24/11/2021,7678,43676,113,24579,23439
K02000001,United Kingdom,overview,23/11/2021,7926,42484,143,26822,22002
K02000001,United Kingdom,overview,22/11/2021,8142,44917,117,23258,18517
K02000001,United Kingdom,overview,21/11/2021,8048,40004,102,16424,13892
K02000001,United Kingdom,overview,20/11/2021,7953,40941,127,26013,24193
K02000001,United Kingdom,overview,19/11/2021,8075,44242,122,27084,21607
K02000001,United Kingdom,overview,18/11/2021,8128,46807,136,28880,20650
K02000001,United Kingdom,overview,17/11/2021,8228,38263,125,33092,22120
K02000001,United Kingdom,overview,16/11/2021,8477,37243,152,31431,19874
K02000001,United Kingdom,overview,15/11/2021,8755,39705,171,32046,18055
K02000001,United Kingdom,overview,14/11/2021,8596,36517,123,22938,17048
K02000001,United Kingdom,overview,13/11/2021,8510,38351,136,33527,24325
K02000001,United Kingdom,overview,12/11/2021,8648,40375,147,34338,22048
K02000001,United Kingdom,overview,11/11/2021,8741,42408,143,36383,22485
K02000001,United Kingdom,overview,10/11/2021,8894,39329,149,119188,47766
K02000001,United Kingdom,overview,09/11/2021,8966,33117,147,39836,21199
K02000001,United Kingdom,overview,08/11/2021,9016,32322,154,33559,20361
K02000001,United Kingdom,overview,07/11/2021,8868,30305,165,25840,14610
K02000001,United Kingdom,overview,06/11/2021,8848,30693,167,36748,24500
