date,r
13/03/2020,0.8
14/03/2020,0.8
15/03/2020,0.8
16/03/2020,0.8
17/03/2020,0.8
18/03/2020,0.8
19/03/2020,0.8
20/03/2020,0.8
21/03/2020,0.8
22/03/2020,0.8
23/03/2020,0.8
24/03/2020,0.8
25/03/2020,0.8
26/03/2020,0.8
27/03/2020,0.8
28/03/2020,0.8
29/03/2020,0.8
30/03/2020,0.8
31/03/2020,0.8
01/04/2020,0.8
02/04/2020,0.8
03/04/2020,0.8
04/04/2020,0.8
05/04/2020,0.8
06/04/2020,0.8
07/04/2020,0.8
08/04/2020,0.8
09/04/2020,0.8
10/04/2020,0.8
11/04/2020,0.8
12/04/2020,0.8
13/04/2020,0.8
14/04/2020,0.8
15/04/2020,0.8
16/04/2020,0.8
17/04/2020,0.8
18/04/2020,0.8
19/04/2020,0.8
20/04/2020,0.8
21/04/2020,0.8
22/04/2020,0.8
23/04/2020,0.8
24/04/2020,0.8
25/04/2020,0.8
26/04/2020,0.8
27/04/2020,0.8
28/04/2020,0.8
29/04/2020,0.8
30/04/2020,0.8
01/05/2020,0.8
02/05/2020,0.8
03/05/2020,0.8
04/05/2020,0.8
05/05/2020,0.8
06/05/2020,0.8
07/05/2020,0.8
08/05/2020,0.8
09/05/2020,0.8
10/05/2020,0.8
11/05/2020,0.8
12/05/2020,0.8
13/05/2020,0.8
14/05/2020,0.8
15/05/2020,0.8
16/05/2020,0.8
17/05/2020,0.8
18/05/2020,0.8
19/05/2020,0.8
20/05/2020,0.8
21/05/2020,0.8
22/05/2020,0.8
23/05/2020,0.8
24/05/2020,0.8
25/05/2020,0.8
26/05/2020,0.8
27/05/2020,0.8
28/05/2020,0.8
29/05/2020,0.8
30/05/2020,0.8
31/05/2020,0.8
01/06/2020,0.8
02/06/2020,0.8
03/06/2020,0.8
04/06/2020,0.8
05/06/2020,0.85
06/06/2020,0.85
07/06/2020,0.85
08/06/2020,0.85
09/06/2020,0.85
10/06/2020,0.85
11/06/2020,0.85
12/06/2020,0.9
13/06/2020,0.9
14/06/2020,0.9
15/06/2020,0.9
16/06/2020,0.9
17/06/2020,0.9
18/06/2020,0.9
19/06/2020,0.8
20/06/2020,0.8
21/06/2020,0.8
22/06/2020,0.8
23/06/2020,0.8
24/06/2020,0.8
25/06/2020,0.8
